"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
04/20/2021 03:14:35,Trade,0xfd1c0e0b3c024bc5377f4a1ced03f17b6f6792d7e7abc75049e4a508c016ac70,0.00017339,ETH,0.07712478,0.40,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,,,,,,,,,,,,
04/20/2021 03:14:35,Send,0xfd1c0e0b3c024bc5377f4a1ced03f17b6f6792d7e7abc75049e4a508c016ac70,,,,,,,,,0.04013145,ETH,0.03699333,93.16,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,0.02267866,ETH,0.00,
04/21/2021 22:42:47,Buy,,19.37311300,ADA,292.12482000,25.00,Coinbase - ADA Wallet,,,Bought Cardano Using Chase - TOTAL CHECKING *****6925,25.00,USD,,,Coinbase - Cash (USD),,,Bought Cardano Using Chase - TOTAL CHECKING *****6925,1.49,USD,,
04/23/2021 11:59:20,Receive,,0.00533300,ATOM,6.37544600,0.10,Coinbase - ATOM Wallet,,Staked,Cosmos reward From Coinbase,,,,,,,,,,,,
04/23/2021 12:11:10,Send,,,,,,,,,,0.00351081,BTC,0.00392566,214.89,Coinbase - BTC Wallet,18N6NtyWGg2c4e5sZShgmwciHjLSLn3sQX,,Sent Bitcoin To Bitcoin address,0.00008815,BTC,-39.57,
04/24/2021 07:40:03,Buy,,0.00017966,BTC,0.00410532,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - TOTAL CHECKING *****6925,0.99,USD,,
04/24/2021 14:07:50,Send,567814d5dc359c35d1b0435a204e7fedee861d5f58182c36e4038299caada62c,,,,,,,,,0.00000000,ETH,0.03699333,0.00,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,0.00242446,ETH,0.00,
04/24/2021 14:11:22,Send,08b8e28ca64f5a46ddd7701ea303c348e7a951664b6b48814e0ccbe578bd8fd1,,,,,,,,,0.00000000,ETH,0.03699333,0.00,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,0.00242632,ETH,0.00,
04/24/2021 14:14:05,Trade,0xcce8d1f36fcb59f6c40aaef35719b5347fcf2518577771768de9e1164cb7f1a7,,,,,,,,,0.75000000,PMON,4.25000000,14.07,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,,,-2.17,
04/24/2021 14:14:05,Trade,0xcce8d1f36fcb59f6c40aaef35719b5347fcf2518577771768de9e1164cb7f1a7,,,,,,,,,2.25000000,PMON,2.00000000,42.21,ETH Wallet ...b622cF - ETH,0x7A178467296f9723f8F245d87F07851163b622cF,,,,,-6.51,
